ID_2	Xt	Yt	MOS	pH	ARC	Altura	Zones(4)	TvsPP
221	402114.27	6516158.45	2.7	6.4	26.9	375	III	0.227034120734908
10	584319.93	6552571.38	2.71	6.6	32.7	111	III	0.201349831271091
246	382613.13	6619021.46	2.71	6.8	26	719	II	0.232248520710059
34	561826.72	6277805.93	2.72	5.5	19.1	124	IV	0.202702702702703
63	521616.09	6394127.28	2.73	6.7	22.6	138	III	0.202916160388821
347	323251.74	6333010.66	2.76	7.7	7.3	766	II	0.218487394957983
193	420262.09	6480316.16	2.76	6.9	23.5	318	III	0.223514211886305
43	541745.02	6421084.4	2.77	6.2	21.4	124	III	0.201670644391408
7	587501.2	6615272.45	2.78	6.7	33.6	97	III	0.205555555555556
18	580626	6317237.45	2.78	7.1	37.5	116	III	0.19833729216152
364	299158.85	6536650.69	2.8	7.1	21.9	925	II	0.288224956063269
369	295427.46	6437040.03	2.81	7.3	13.6	567	I	0.29933110367893
64	523663.16	6374579.7	2.83	6.3	23.1	133	III	0.201447527141134
259	371612.33	6361512.93	2.83	6.4	12.9	512	IV	0.21181001283697
96	501314	6200115.09	2.86	7.3	18	122	IV	0.220588235294118
290	360297.21	6339369.19	2.89	6.7	18	496	III	0.21520618556701
110	480716.92	6417424.43	2.9	6.6	21.6	195	III	0.221052631578947
37	540779.77	6533414.79	2.91	6.2	29.9	113	III	0.208430913348946
251	379912.81	6513834.93	2.93	6.9	29.7	497	III	0.255952380952381
82	493626.25	6469272.39	2.93	6.8	26.7	176	III	0.212422360248447
305	339487.39	6636140.96	2.94	7.4	20.8	418	I	0.357142857142857
191	418820.67	6517895.2	2.94	6.7	23.4	328	III	0.219822109275731
156	439114.39	6616771.45	2.94	7.2	22.5	193	III	0.228247162673392
29	561287.96	6377056.62	2.94	6	18.6	109	III	0.198598130841121
186	423666.86	6616209.04	2.94	6.2	31.5	299	III	0.227684346701164
320	338757.84	6338936.77	2.97	6.7	36.4	627	II	0.21875
286	360020.37	6412715.79	2.98	7.3	9.8	632	II	0.236918604651163
6	601798.13	6344095.95	2.98	7.4	25.2	109	III	0.193771626297578
3	596537.13	6390517.74	2.98	7.4	24	82	III	0.197488584474886
128	459951.17	6581355.85	2.98	7.5	23.8	120	III	0.222358722358722
187	418240.45	6593812.04	3	5.9	27.8	330	III	0.222509702457956
126	463017.16	6617130.56	3	7.3	27.7	80	III	0.227941176470588
14	584191.34	6397970.97	3	5.6	29.3	109	III	0.197928653624856
4	595665.51	6380483.6	3.01	6.1	28.5	95	III	0.197021764032073
374	278760.28	6590394.23	3.01	6.8	10.3	455	I	0.386317907444668
166	436267.75	6422024.45	3.01	6.6	21.1	285	III	0.215561224489796
255	379355.97	6436677.28	3.01	7.1	25.3	431	III	0.235294117647059
250	379858.94	6542664.31	3.05	7.01	26.23	586	III	0.222527472527473
167	443077.86	6398613.19	3.06	6.8	17.5	239	III	0.218228498074454
188	414895.03	6575416.09	3.09	7	27.3	350	III	0.216666666666667
86	503837.23	6399236.74	3.1	6.2	36.9	158	III	0.211392405063291
32	561075.51	6317869.86	3.11	6.5	26.6	117	III	0.201204819277108
39	544374.11	6494569.02	3.11	6.4	24	116	III	0.204946996466431
84	491398.68	6442386.3	3.11	6.9	20.2	185	III	0.216010165184244
282	366450.72	6494150.24	3.14	6.8	17.1	513	II	0.262518968133536
185	415617.58	6642028.94	3.16	7.1	25.4	415	III	0.231075697211155
183	418050.85	6676477.99	3.16	6.8	27.4	534	II	0.227450980392157
252	378648.57	6496538.18	3.2	7	27.2	471	III	0.25366568914956
130	456426.16	6528027.06	3.22	6.6	26.4	219	III	0.213759213759214
253	378883.18	6476585.09	3.22	7.1	26.2	451	III	0.249275362318841
314	340121.95	6459510.02	3.25	6.5	35.5	1099	II	0.222727272727273
150	448405.03	6145930.74	3.26	7.7	23.6	126	III	0.235460992907801
254	373300.19	6454148.92	3.26	7.2	24.7	561	II	0.24517087667162
279	357460.41	6556070.9	3.28	7.5	2.6	851	II	0.228915662650602
94	502250.4	6228811.57	3.3	6.6	15.7	137	IV	0.216993464052288
71	521364.08	6242214.02	3.31	6.4	18.9	123	III	0.211538461538462
99	467093.76	6665903.52	3.34	7.2	21	80	III	0.232643118148599
35	540132.48	6572395.39	3.35	6.8	37.4	82	III	0.210892236384705
192	419416.76	6496935.98	3.36	6.7	22.1	326	III	0.222651222651223
337	302508.48	6573026.77	3.41	7	18.7	600	III	0.333948339483395
98	470472.31	6684993.25	3.48	6.5	13.1	80	III	0.23680981595092
124	454630.37	6650994.26	3.49	6.6	25.7	128	III	0.230958230958231
47	545162.87	6334934.06	3.49	6.8	20.7	117	III	0.203143893591294
181	409646.23	6716651.09	3.58	8	20.2	650	II	0.244072524407252
77	498859.46	6582924.35	3.58	6	34	95	III	0.215895610913405
273	362072.5	6681196.78	3.59	7.6	17.1	359	I	0.348134991119005
281	363571.89	6515525.91	3.6	7.1	25	647	II	0.254931714719272
245	377040.03	6636194.96	3.64	7	23.4	941	II	0.230652503793627
42	532245.03	6442189.31	3.66	6.8	24	132	III	0.205066344993969
70	515660.94	6259661.03	3.69	6.7	12.7	129	IV	0.212738853503185
219	391757.12	6558626.52	3.72	6.5	36.1	533	III	0.205263157894737
